company,sector,year,role,language,wordcount,group,count_raw,count_norm
Commerzbank,Banken,2024,ceo,de,4040,KI/AI,2,0.495
Commerzbank,Banken,2024,ceo,de,4040,Daten/Data,0,0.0
Commerzbank,Banken,2024,ar,de,891,KI/AI,0,0.0
Commerzbank,Banken,2024,ar,de,891,Daten/Data,0,0.0
Commerzbank,Banken,2025,ceo,de,4182,KI/AI,13,3.1086
Commerzbank,Banken,2025,ceo,de,4182,Daten/Data,0,0.0
Commerzbank,Banken,2025,ar,de,937,KI/AI,0,0.0
Commerzbank,Banken,2025,ar,de,937,Daten/Data,0,0.0
Continental,Automobil,2022,ceo,de,3613,KI/AI,1,0.2768
Continental,Automobil,2022,ceo,de,3613,Daten/Data,2,0.5536
Continental,Automobil,2022,ar,de,3121,KI/AI,0,0.0
Continental,Automobil,2022,ar,de,3121,Daten/Data,0,0.0
Continental,Automobil,2023,ceo,de,3399,KI/AI,1,0.2942
Continental,Automobil,2023,ceo,de,3399,Daten/Data,1,0.2942
Continental,Automobil,2023,ar,de,3357,KI/AI,0,0.0
Continental,Automobil,2023,ar,de,3357,Daten/Data,0,0.0
Continental,Automobil,2024,ceo,de,3007,KI/AI,0,0.0
Continental,Automobil,2024,ceo,de,3007,Daten/Data,1,0.3326
Continental,Automobil,2024,ar,de,3783,KI/AI,0,0.0
Continental,Automobil,2024,ar,de,3783,Daten/Data,0,0.0
Continental,Automobil,2025,ceo,de,3041,KI/AI,1,0.3288
Continental,Automobil,2025,ceo,de,3041,Daten/Data,0,0.0
Continental,Automobil,2025,ar,de,3834,KI/AI,0,0.0
Continental,Automobil,2025,ar,de,3834,Daten/Data,0,0.0
DHL,Logistik,2022,ceo,de,4208,KI/AI,0,0.0
DHL,Logistik,2022,ceo,de,4208,Daten/Data,2,0.4753
DHL,Logistik,2023,ceo,de,3856,KI/AI,1,0.2593
DHL,Logistik,2023,ceo,de,3856,Daten/Data,1,0.2593
DHL,Logistik,2024,ceo,de,4269,KI/AI,2,0.4685
DHL,Logistik,2024,ceo,de,4269,Daten/Data,2,0.4685
DHL,Logistik,2025,ceo,de,3506,KI/AI,8,2.2818
DHL,Logistik,2025,ceo,de,3506,Daten/Data,0,0.0
DHL,Logistik,2025,ar,de,1044,KI/AI,0,0.0
DHL,Logistik,2025,ar,de,1044,Daten/Data,0,0.0
DaimlerTruck,Automobil,2022,ceo,de,3667,KI/AI,0,0.0
DaimlerTruck,Automobil,2022,ceo,de,3667,Daten/Data,0,0.0
DaimlerTruck,Automobil,2022,ar,de,2671,KI/AI,0,0.0
