company,sector,year,group,count_raw,count_norm,wordcount
Eon,Energie,2024,KI/AI,0,0.0,1899
Eon,Energie,2025,Daten/Data,1,0.3622,2761
Eon,Energie,2025,KI/AI,2,0.7244,2761
Fresenius,Medizintechnik & Kliniken,2022,Daten/Data,0,0.0,3747
Fresenius,Medizintechnik & Kliniken,2022,KI/AI,0,0.0,3747
Fresenius,Medizintechnik & Kliniken,2023,Daten/Data,0,0.0,2459
Fresenius,Medizintechnik & Kliniken,2023,KI/AI,2,0.8133,2459
Fresenius,Medizintechnik & Kliniken,2024,Daten/Data,6,0.9214,4574
Fresenius,Medizintechnik & Kliniken,2024,KI/AI,7,1.30075,4574
Fresenius,Medizintechnik & Kliniken,2025,Daten/Data,2,0.28595,4822
Fresenius,Medizintechnik & Kliniken,2025,KI/AI,7,1.00085,4822
FreseniusMedicalCare,Medizintechnik,2022,Daten/Data,2,0.3693,7352
FreseniusMedicalCare,Medizintechnik,2022,KI/AI,0,0.0,7352
FreseniusMedicalCare,Medizintechnik,2023,Daten/Data,1,0.2433,6579
FreseniusMedicalCare,Medizintechnik,2023,KI/AI,0,0.0,6579
FreseniusMedicalCare,Medizintechnik,2024,Daten/Data,0,0.0,9340
FreseniusMedicalCare,Medizintechnik,2024,KI/AI,1,0.07435,9340
FreseniusMedicalCare,Medizintechnik,2025,Daten/Data,2,0.31245,7096
FreseniusMedicalCare,Medizintechnik,2025,KI/AI,0,0.0,7096
GEA,Maschinenbau,2022,Daten/Data,2,0.2308,5770
GEA,Maschinenbau,2022,KI/AI,0,0.0,5770
GEA,Maschinenbau,2023,Daten/Data,0,0.0,4968
GEA,Maschinenbau,2023,KI/AI,0,0.0,4968
GEA,Maschinenbau,2024,Daten/Data,0,0.0,4895
GEA,Maschinenbau,2024,KI/AI,1,0.14615,4895
GEA,Maschinenbau,2025,Daten/Data,2,0.2788,6109
GEA,Maschinenbau,2025,KI/AI,2,0.2788,6109
HannoverRe,Versicherungen,2022,Daten/Data,1,0.3186,3139
HannoverRe,Versicherungen,2022,KI/AI,0,0.0,3139
HannoverRe,Versicherungen,2023,Daten/Data,0,0.0,2902
HannoverRe,Versicherungen,2023,KI/AI,0,0.0,2902
HannoverRe,Versicherungen,2024,Daten/Data,3,1.1881,2525
HannoverRe,Versicherungen,2024,KI/AI,1,0.396,2525
HannoverRe,Versicherungen,2025,Daten/Data,0,0.0,1904
HannoverRe,Versicherungen,2025,KI/AI,0,0.0,1904
HeidelbergMaterials,Baustoffe,2022,Daten/Data,0,0.0,453
HeidelbergMaterials,Baustoffe,2022,KI/AI,0,0.0,453
HeidelbergMaterials,Baustoffe,2023,Daten/Data,0,0.0,670
HeidelbergMaterials,Baustoffe,2023,KI/AI,0,0.0,670
HeidelbergMaterials,Baustoffe,2024,Daten/Data,0,0.0,2543
HeidelbergMaterials,Baustoffe,2024,KI/AI,0,0.0,2543
