company,sector,year,role,speaker,language,confidence,wordcount,filename
Continental,Automobil,2022,ar,Wolfgang Reitzle,de,high,3138,Continental/2022/bericht_des_ar_2021.pdf
Continental,Automobil,2023,ceo,Nikolai Setzer,de,high,3398,Continental/2023/20230427-continental-rede_hv_de.pdf
Continental,Automobil,2023,ar,Wolfgang Reitzle,de,high,3317,Continental/2023/auszug_bericht_des_ar_gb_2022.pdf
Continental,Automobil,2024,ceo,Nikolai Setzer,de,high,3002,Continental/2024/continental-rede-hv_2024.pdf
Continental,Automobil,2024,ar,Wolfgang Reitzle,de,high,3827,Continental/2024/auszug_gb_bericht_des_ar_2023_01.pdf
Continental,Automobil,2025,ceo,Nikolai Setzer,de,high,3041,Continental/2025/continental-rede-hv_2025.pdf
Continental,Automobil,2025,ar,Wolfgang Reitzle,de,high,3787,Continental/2025/ar-bericht-2024.pdf
DHL,Logistik,2022,ceo,Frank Appel,de,high,4208,DHL/2022/DPDHL-HV-2022-Rede-Appel.pdf
DHL,Logistik,2023,ceo,Frank Appel,de,high,3856,DHL/2023/DPDHL-HV-2023-Rede-Appel.pdf
DHL,Logistik,2024,ceo,Tobias Meyer,de,high,4269,DHL/2024/DHL-Group-HV-2024-Rede-Tobias-Meyer.pdf
DHL,Logistik,2025,ceo,Tobias Meyer,de,high,3504,DHL/2025/DHL-Group-HV-2025-Rede-Tobias-Meyer.pdf
DHL,Logistik,2025,ar,Nikolaus von Agatha,de,high,1044,DHL/2025/DHL-Group-HV-2025-Bericht-Vorsitzender-AR.pdf
DaimlerTruck,Automobil,2022,ceo,Martin Daum,de,high,3660,DaimlerTruck/2022/daimler-truck-hauptversammlung-2022-rede-martin-daum.pdf
DaimlerTruck,Automobil,2022,ar,Joe Kaeser,de,high,2665,DaimlerTruck/2022/daimler-truck-hauptversammlung-2022-rede-joe-kaeser.pdf
DaimlerTruck,Automobil,2023,ceo,Martin Daum,de,high,3811,DaimlerTruck/2023/Daimler-Truck-IR-HV-2023-Rede-Martin-Daum.pdf
DaimlerTruck,Automobil,2023,ar,Joe Kaeser,de,high,2157,DaimlerTruck/2023/Daimler-Truck-IR-HV-2023-Rede-Joe-Kaeser.pdf
DaimlerTruck,Automobil,2024,ceo,Martin Daum,de,high,3292,DaimlerTruck/2024/Daimler-Truck-IR-HV-2024-Rede-Martin-Daum.pdf
DaimlerTruck,Automobil,2024,ar,Joe Kaeser,de,high,2225,DaimlerTruck/2024/Daimler-Truck-IR-HV-2024-Rede-Joe-Kaeser.pdf
DaimlerTruck,Automobil,2025,ceo,Karin Radström,de,high,1861,DaimlerTruck/2025/Daimler-Truck-IR-HV-2025-Rede-Karin-Radstroem.pdf
DaimlerTruck,Automobil,2025,ar,Joe Kaeser,de,high,1689,DaimlerTruck/2025/Daimler-Truck-IR-HV-2025-Rede-Joe-Kaeser.pdf
DeutscheBank,Banken,2022,ceo,Christian Sewing,de,high,5461,DeutscheBank/2022/HV_2022_Rede_Christian_Sewing.pdf
DeutscheBank,Banken,2022,ar,Paul Achleitner,de,high,4042,DeutscheBank/2022/HV_2022_Rede_Paul_Achleitner.pdf
DeutscheBank,Banken,2023,ceo,Christian Sewing,de,high,4064,DeutscheBank/2023/Rede-Christian-Sewing-HV-2023.pdf
DeutscheBank,Banken,2023,ar,Alexander Wynaendts,de,high,1934,DeutscheBank/2023/Rede-Alexander-Wynaendts-HV-2023.pdf
DeutscheBank,Banken,2024,ceo,Christian Sewing,de,high,4283,DeutscheBank/2024/Rede-Christian-Sewing-HV-2024-neu.pdf
DeutscheBank,Banken,2024,ar,Alexander Wynaendts,de,high,1296,DeutscheBank/2024/Rede-Wynaendts-HV-2024.pdf
DeutscheBank,Banken,2025,ceo,Christian Sewing,de,high,3925,DeutscheBank/2025/Rede-Christian-Sewing-HV-2025.pdf
DeutscheBank,Banken,2025,ar,Alexander Wynaendts,de,high,1696,DeutscheBank/2025/Rede-Wynaendts-HV-2025.pdf
DeutscheBoerse,Finanzdienstleistungen,2022,ceo,Theodor Weimer,de,high,3498,DeutscheBoerse/2022/agm2022-speech-tw_de.pdf
DeutscheBoerse,Finanzdienstleistungen,2022,ar,Martin Jetter,de,high,4758,DeutscheBoerse/2022/agm2022-speech-ar_de.pdf
DeutscheBoerse,Finanzdienstleistungen,2023,ceo,Theodor Weimer,de,high,3823,DeutscheBoerse/2023/agm2023-speech-tw_de.pdf
DeutscheBoerse,Finanzdienstleistungen,2023,ar,Martin Jetter,de,high,3703,DeutscheBoerse/2023/agm2023-speech-ar_de.pdf
DeutscheBoerse,Finanzdienstleistungen,2024,ceo,Theodor Weimer,de,high,2971,DeutscheBoerse/2024/agm2024-speech-tw_de.pdf
DeutscheBoerse,Finanzdienstleistungen,2024,ar,Martin Jetter,de,high,2168,DeutscheBoerse/2024/agm2024-speech-ar_de.pdf
DeutscheBoerse,Finanzdienstleistungen,2025,ceo,Stephan Leithner,de,high,3566,DeutscheBoerse/2025/agm2025-speech-sl_de.pdf
DeutscheBoerse,Finanzdienstleistungen,2025,ar,Martin Jetter,de,high,2568,DeutscheBoerse/2025/agm2025-speech-mj_de.pdf
Eon,Energie,2022,ceo,Leonhard Birnbaum,de,high,2870,Eon/2022/2022_EON_HV_Rede_LB_DE_fin.pdf
Eon,Energie,2023,ceo,Leonhard Birnbaum,de,high,2381,Eon/2023/230517_HV23_Rede_LB_final.pdf
Eon,Energie,2024,ceo,Leonhard Birnbaum,de,high,1900,Eon/2024/20240516_HV24_Rede_LB_final.pdf
Eon,Energie,2025,ceo,Leonhard Birnbaum,de,high,2761,Eon/2025/250515_HV25_Rede_LB.pdf
Fresenius,Medizintechnik & Kliniken,2022,ceo,Stephan Sturm,de,high,3717,Fresenius/2022/Rede_2022_CEO.pdf
Fresenius,Medizintechnik & Kliniken,2023,ceo,Michael Sen,de,high,2460,Fresenius/2023/Rede_2023_CEO.pdf
Fresenius,Medizintechnik & Kliniken,2024,ceo,Michael Sen,de,high,3260,Fresenius/2024/FSE_Rede_Michael_Sen_Hauptversammlung_2024.pdf
Fresenius,Medizintechnik & Kliniken,2024,ar,Dieter Scheiff,de,high,1314,Fresenius/2024/2024-04_Brief_des_AR-Vorsitzenden.pdf
Fresenius,Medizintechnik & Kliniken,2025,ceo,Michael Sen,de,high,3497,Fresenius/2025/05_23_2025_Fresenius Hauptversammlung 2025 Rede CEO Michael Sen.pdf
Fresenius,Medizintechnik & Kliniken,2025,ar,Dieter Scheiff,de,high,1325,Fresenius/2025/2025-04-07_Brief_des_Aufsichtsratsvorsitzenden.pdf
FreseniusMedicalCare,Medizintechnik,2022,ceo,Rice Powell,de,high,2706,FreseniusMedicalCare/2022/20220505_FMC_AGM2022_Rede_Rice_Powell_Deutsch.pdf
FreseniusMedicalCare,Medizintechnik,2022,ar,Michael Sen,de,high,4670,FreseniusMedicalCare/2022/FME_KGaA_Bericht_des_Aufsichtsrats_2021_DE.pdf
FreseniusMedicalCare,Medizintechnik,2023,ceo,Helen Giza,de,high,2050,FreseniusMedicalCare/2023/HG_AGM_Speech_DE_final.pdf
FreseniusMedicalCare,Medizintechnik,2023,ar,Michael Sen,de,high,4522,FreseniusMedicalCare/2023/FME_KGaA_Bericht_des_Aufsichtsrats_2022_DE_Website.pdf
FreseniusMedicalCare,Medizintechnik,2024,ceo,Helen Giza,de,high,2672,FreseniusMedicalCare/2024/240513_HV_2024_Redetext_Helen_Giza_DE.pdf
FreseniusMedicalCare,Medizintechnik,2024,ar,Michael Sen,de,high,6761,FreseniusMedicalCare/2024/FME_GB2023_Bericht_des_Aufsichtsrats.pdf
FreseniusMedicalCare,Medizintechnik,2025,ceo,Helen Giza,de,high,2504,FreseniusMedicalCare/2025/FME_HV_2025_Rede-der-Vorstandsvorsitzenden.pdf
FreseniusMedicalCare,Medizintechnik,2025,ar,Michael Sen,de,high,4654,FreseniusMedicalCare/2025/Bericht_des_Aufsichtsrats_2024.pdf
GEA,Maschinenbau,2022,ceo,Stefan Klebert,de,high,4331,GEA/2022/speech-stefan-klebert-agm-2022-de.pdf
GEA,Maschinenbau,2022,ar,Klaus Helmrich,de,high,1424,GEA/2022/speech of klaus helmrich - de.pdf
GEA,Maschinenbau,2023,ceo,Stefan Klebert,de,high,3870,GEA/2023/speech-stefan-klebert-ceo-gea-agm-2023-de.pdf
GEA,Maschinenbau,2023,ar,Klaus Helmrich,de,high,1088,GEA/2023/letter-of-the-chairman-of-the-supervisory-board-agm-2023-de.pdf
GEA,Maschinenbau,2024,ceo,Stefan Klebert,de,high,3421,GEA/2024/gea-hv-2024-rede-stefan-klebert-ceo.pdf
GEA,Maschinenbau,2024,ar,Dr. Kemp,de,high,1476,GEA/2024/brief-kemp-DE.pdf
GEA,Maschinenbau,2025,ceo,Stefan Klebert,de,high,3587,GEA/2025/agm-gea-2025-speech-stefan-klebert-de.pdf
GEA,Maschinenbau,2025,ar,Dr. Kemp,de,high,2527,GEA/2025/letter-from-chairman-de.pdf
HannoverRe,Versicherungen,2022,ceo,Jean-Jacques Henchoz,de,high,3139,HannoverRe/2022/Rede_Geschaeftsjahr_2022_d.pdf
HannoverRe,Versicherungen,2023,ceo,Jean-Jacques Henchoz,de,high,2902,HannoverRe/2023/Rede_Geschaeftsjahr_2023_d.pdf
HannoverRe,Versicherungen,2024,ceo,Jean-Jacques Henchoz,de,high,2524,HannoverRe/2024/Rede_Geschaeftsjahr_2024_d.pdf
HannoverRe,Versicherungen,2025,ceo,Jean-Jacques Henchoz,de,high,1904,HannoverRe/2025/Hannover Rück HV 2025 Rede_Internet.pdf
